Rk,Player,Team,Pos,FGM,FG Att,FG_Pct,Blk,Lng,1-19_A-M,1-19_Pct,20-29_A-M,20-29_Pct,30-39_A-M,30-39_Pct,40-49_A-M,40-49_Pct,50+_A-M,50+_Pct,XPM,XP Att,XP_Pct,Blk,YEAR
31,Kai Forbath,WAS,K,18,22,82,2,50,0-0,0,4-3,75,10-10,100,6-4,67,2-1,50,26,26,100,0,2013.0
31,Mike Nugent,CIN,K,18,22,82,0,54,0-0,0,2-2,100,7-6,86,9-7,78,4-3,75,52,53,98,1,2013.0
33,John Potter,WAS,K,3,4,75,0,43,0-0,0,2-2,100,0-0,0,1-1,100,1-0,0,7,7,100,0,2013.0
34,Shayne Graham,NO,K,2,2,100,0,40,0-0,0,1-1,100,0-0,0,1-1,100,0-0,0,7,7,100,0,2013.0
1,Stephen Gostkowski,NE,K,35,37,95,0,53,1-1,100,11-11,100,11-10,91,13-12,92,1-1,100,51,51,100,0,2014.0
2,Dan Carpenter,BUF,K,34,38,90,1,58,0-0,0,9-9,100,13-12,92,8-7,88,8-6,75,31,32,97,0,2014.0
3,Nick Folk,NYJ,K,32,39,82,2,55,0-0,0,13-13,100,7-7,100,13-9,69,6-3,50,23,23,100,0,2014.0
3,Cody Parkey,PHI,K,32,36,89,0,54,0-0,0,10-10,100,16-14,88,6-4,67,4-4,100,54,54,100,0,2014.0
5,Stephen Hauschka,SEA,K,31,37,84,2,58,0-0,0,10-10,100,10-10,100,13-9,69,4-2,50,41,41,100,0,2014.0
6,Randy Bullock,HOU,K,30,35,86,2,55,0-0,0,7-6,86,15-13,87,8-7,88,5-4,80,40,40,100,0,2014.0
6,Adam Vinatieri,IND,K,30,31,97,0,53,0-0,0,10-10,100,10-10,100,8-7,88,3-3,100,50,50,100,0,2014.0
8,Matt Bryant,ATL,K,29,32,91,1,54,0-0,0,10-10,100,4-4,100,8-8,100,10-7,70,40,40,100,0,2014.0
8,Chandler Catanzaro,ARI,K,29,33,88,0,51,0-0,0,5-5,100,14-12,86,11-10,91,3-2,67,27,27,100,0,2014.0
8,Graham Gano,CAR,K,29,35,83,1,53,0-0,0,7-7,100,13-12,92,12-9,75,3-1,33,34,34,100,0,2014.0
8,Caleb Sturgis,MIA,K,29,37,78,2,53,1-1,100,12-12,100,8-7,88,10-6,60,6-3,50,41,41,100,0,2014.0
8,Shaun Suisham,PIT,K,29,32,91,0,53,0-0,0,13-12,92,6-6,100,10-10,100,3-1,33,45,45,100,0,2014.0
8,Justin Tucker,BAL,K,29,34,85,1,55,0-0,0,10-10,100,11-11,100,4-4,100,9-4,44,42,42,100,0,2014.0
14,Mason Crosby,GB,K,27,33,82,3,55,0-0,0,7-7,100,12-11,92,7-5,71,7-4,57,53,55,96,2,2014.0
15,Mike Nugent,CIN,K,26,33,79,1,49,0-0,0,6-6,100,12-10,83,12-10,83,3-0,0,39,39,100,0,2014.0
15,Blair Walsh,MIN,K,26,35,74,2,55,2-2,100,5-4,80,10-8,80,9-7,78,9-5,56,29,29,100,0,2014.0
17,Dan Bailey,DAL,K,25,29,86,1,56,0-0,0,6-6,100,7-6,86,9-8,89,7-5,71,56,56,100,0,2014.0
17,Phil Dawson,SF,K,25,31,81,1,55,0-0,0,6-6,100,9-8,89,7-5,71,9-6,67,33,33,100,0,2014.0
17,Cairo Santos,KC,K,25,30,83,0,53,1-1,100,10-10,100,7-6,86,10-7,70,2-1,50,38,38,100,0,2014.0
20,Josh Brown,NYG,K,24,26,92,1,53,1-1,100,7-6,86,9-9,100,5-4,80,4-4,100,44,44,100,0,2014.0
20,Kai Forbath,WAS,K,24,27,89,0,49,0-0,0,11-11,100,7-6,86,8-7,88,1-0,0,31,32,97,1,2014.0
20,Greg Zuerlein,STL,K,24,30,80,1,56,1-1,100,7-6,86,12-10,83,3-2,67,7-5,71,34,35,97,0,2014.0
23,Billy Cundiff,CLE,K,22,29,76,1,52,0-0,0,6-6,100,13-10,77,7-5,71,3-1,33,28,28,100,0,2014.0
23,Nick Novak,SD,K,22,26,85,1,52,1-1,100,6-6,100,9-8,89,6-4,67,4-3,75,40,40,100,0,2014.0
25,Matt Prater,DET,K,21,26,81,2,52,0-0,0,8-8,100,5-4,80,8-6,75,5-3,60,21,21,100,0,2014.0
26,Patrick Murray,TB,K,20,24,83,2,55,0-0,0,3-2,67,8-7,88,7-6,86,6-5,83,31,31,100,0,2014.0
26,Josh Scobee,JAC,K,20,26,77,3,53,0-0,0,3-3,100,8-7,88,9-7,78,6-3,50,23,23,100,0,2014.0
28,Shayne Graham,NO,K,19,22,86,0,50,0-0,0,6-6,100,9-9,100,5-3,60,2-1,50,46,47,98,1,2014.0
28,Sebastian Janikowski,OAK,K,19,22,86,0,57,0-0,0,2-2,100,5-5,100,10-9,90,5-3,60,28,28,100,0,2014.0
28,Ryan Succop,TEN,K,19,22,86,0,51,0-0,0,5-5,100,7-7,100,8-5,62,2-2,100,27,27,100,0,2014.0
31,Connor Barth,DEN,K,15,16,94,0,50,2-2,100,4-4,100,5-5,100,4-3,75,1-1,100,15,15,100,0,2014.0
32,Robbie Gould,CHI,K,9,12,75,0,45,0-0,0,4-4,100,3-2,67,4-3,75,1-0,0,28,29,97,1,2014.0
32,Brandon McManus,DEN,K,9,13,69,0,44,0-0,0,5-5,100,3-2,67,3-2,67,2-0,0,41,41,100,0,2014.0
34,Jay Feely,CHI,K,3,4,75,0,48,0-0,0,1-1,100,1-1,100,2-1,50,0-0,0,5,6,83,1,2014.0
34,Nate Freese,DET,K,3,7,43,0,30,0-0,0,2-2,100,1-1,100,4-0,0,0-0,0,6,6,100,0,2014.0
34,Garrett Hartley,CLE,K,3,3,100,0,43,0-0,0,0-0,0,2-2,100,1-1,100,0-0,0,2,2,100,0,2014.0
37,Alex Henery,DET,K,1,5,20,0,51,0-0,0,0-0,0,0-0,0,2-0,0,3-1,33,5,5,100,0,2014.0
1,Blair Walsh,MIN,K,34,39,87,1,54,0-0,0,9-9,100,15-13,87,7-6,86,8-6,75,33,37,89,0,2015.0
2,Stephen Gostkowski,NE,K,33,36,92,0,57,0-0,0,6-6,100,11-11,100,14-12,86,5-4,80,52,52,100,0,2015.0
2,Robbie Gould,CHI,K,33,39,85,0,55,1-1,100,8-8,100,12-10,83,9-7,78,9-7,78,28,29,97,1,2015.0
